	N120	N123	N124	N126	N130	N131	N138	N140	N144	N146	N148	N149	N150	N151	N152	N153	N155	N158	N160	N163	N164	N165	N166	N169	N171	N172	N176	N178	N179	N182	N185	N186	N187	N188	N189	N192	N193	N195	N197	N198	N199	N200	N202	N203	N205	N210	N212	N214	N215	N216	N217	N221	N222	N224	N226	N228	N229	N232	N233	N234	N235	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N259	N261	N265	N267	N268	N269	N270	N153A
SELL	6.998803173	7.402828426	2.141567227	6.456508688	8.605340672	9.388096476	7.748063348	6.181720593	8.040104707	7.791073971	8.561451435	8.246338377	9.041763173	7.564569649	7.675141684	7.123185735	5.467751268	8.735573173	7.711905254	7.632889203	7.405270323	7.151624707	8.070576346	10.89232619	7.975833173	5.913514571	9.010868852	7.820671188	5.931643173	7.393201268	6.279638688	5.978242824	6.720356266	8.048171733	7.258256999	8.363531268	6.41564	8.30274	7.248104707	6.230698767	7.25620907	8.147183689	6.500323348	9.553877338	7.676879879	5.124348767	7.902603173	7.839794185	9.014328095	7.396643349	8.159279649	9.852439879	8.749876472	7.345621268	7.767965195	6.139008095	8.114526758	9.129287499	7.261831631	7.836215735	6.34195	8.157086187	7.511468095	3.81768	7.543126476	7.632876176	7.20047	7.881839879	6.400206472	0.76144907	6.877016266	8.013408095	7.14836	8.457364234	7.44767314	7.649253971	7.269992824	6.08497	8.13468907	6.13597
F11	8.595853173	8.601538426	4.556657227	7.988328688	8.780300672	8.649566476	9.128183348	7.808820593	9.012454707	9.164583971	9.136261435	9.442958377	10.39835317	9.019069649	8.599001684	9.957945735	8.809521268	9.340593173	9.020015254	8.765519203	8.265790323	8.650714707	10.00524635	13.47574619	9.506163173	8.024894571	9.769358852	10.18184119	8.801373173	9.730701268	8.559718688	9.071302824	9.242986266	9.406021733	8.521846999	8.804331268	8.79004	9.09233	8.425174707	9.160068767	9.21374907	9.979373689	8.445373348	10.07589734	9.478119879	7.696058767	9.609813173	9.327734185	9.305828095	9.200503349	9.573449649	9.836829879	10.07325647	9.960291268	9.386755195	9.066178095	9.158256758	9.485677499	9.153681631	9.772835735	8.75936	9.182466187	9.374428095	8.85284	8.506306476	8.797036176	7.99286	9.035069879	9.152466472	1.76161907	9.044496266	9.299968095	8.9415	9.125234234	9.60069314	10.08883397	8.289972824	8.67408	9.65484907	8.31904
COMP	9.144193173	10.49042843	5.251467227	10.36844869	9.206300672	9.705056476	10.14144335	7.588820593	10.46382471	9.537823971	10.69159144	10.20079838	11.76132317	10.90527965	8.636181684	10.91593574	9.497861268	10.94053317	8.065875254	10.5422292	9.646160323	8.234384707	11.11942635	12.18016619	9.683243173	8.990404571	10.96878885	10.83016119	9.330593173	10.93517127	8.017808688	10.40879282	5.303486266	10.27145173	10.379387	6.380051268	8.0404	10.41078	6.065874707	8.704168767	9.58571907	11.26242369	7.974003348	11.59301734	9.000529879	5.885008767	10.91470317	10.66933419	10.54639809	10.86133335	11.01316965	11.25070988	11.68324647	12.25141127	10.67246519	9.176968095	8.174846758	11.1769875	9.488201631	11.63805574	10.31405	10.87324619	10.02201809	8.24604	9.628116476	9.307656176	6.96718	9.736119879	7.795936472	0.07831907	10.99427627	9.350938095	9.37252	9.854174234	9.47128314	11.91567397	8.189972824	9.80755	10.67924907	8.64484
CA4	1.967433173	3.867588426	0.710827227	1.946028688	6.660720672	2.391706476	2.082723348	1.140340593	2.646244707	3.459693971	2.570331435	2.519048377	4.435083173	3.450049649	3.059441684	2.991975735	1.435091268	3.464483173	2.359135254	4.470599203	3.252920323	3.056924707	1.584446346	6.16819619	2.127783173	3.190164571	2.122558852	2.973831188	3.258593173	2.893361268	2.763278688	2.475482824	2.075916266	2.479691733	4.598136999	2.611341268	3.29605	2.41581	3.277534707	3.343278767	3.46885907	2.453073689	0.920193348	3.246457338	2.386369879	1.911038767	2.499903173	3.266024185	3.196728095	2.523313349	4.007959649	3.419869879	3.449156472	3.336571268	2.487125195	2.421948095	2.482506758	2.893107499	3.434591631	2.783975735	1.24952	4.607066187	2.718498095	1.58493	3.608326476	3.971286176	1.28539	4.792189879	2.365506472	-0.01721093	2.368446266	2.751508095	3.16855	2.505704234	3.23496314	2.055013971	1.933192824	1.53842	1.63300907	0.59422
PTPRS	3.702633173	2.219438426	1.921117227	2.455888688	2.373770672	3.291386476	3.896793348	1.920840593	3.483054707	3.574833971	4.038251435	4.582488377	4.744033173	4.023569649	2.276231684	3.582835735	2.750211268	3.748403173	3.138915254	2.297249203	2.052330323	2.706654707	3.652306346	6.91853619	3.553133173	2.199444571	3.961218852	3.801891188	3.081813173	3.939521268	2.290798688	3.339242824	2.426726266	4.371171733	3.088476999	3.250851268	2.3218	3.79319	1.744354707	2.291988767	3.67819907	4.521683689	2.082333348	5.059417338	3.067899879	1.893098767	5.147453173	4.677584185	4.091148095	4.178123349	4.742499649	4.902799879	4.469326472	4.687331268	3.617785195	4.265838095	2.407906758	4.446217499	3.674851631	4.028915735	3.03932	2.308756187	4.125208095	2.9987	2.008086476	2.051596176	1.73512	2.946739879	3.789286472	0.84710907	3.657036266	3.228608095	1.52677	3.247714234	3.62007314	4.922023971	2.149772824	3.36766	4.16506907	2.97744
MBL2	11.90640317	11.77488843	4.329597227	9.300108688	11.08348067	11.37484648	10.89392335	7.396520593	12.88945471	8.171013971	11.02281144	11.82019838	12.20138317	11.81322965	11.92995168	12.55146574	10.80957127	10.92865317	11.15537525	8.049229203	9.472930323	10.82750471	12.27361635	10.96574619	9.784693173	7.473464571	13.08365885	12.42261119	11.50333317	10.74728127	8.382638688	10.51710282	7.463556266	12.96004173	12.082267	6.294261268	11.6355	11.00798	10.49711471	11.47742877	9.97433907	11.29845369	10.72292335	10.24194734	11.95792988	9.649108767	11.93408317	11.13288419	10.68149809	12.05267335	11.96769965	13.00750988	11.31953647	10.29057127	10.50376519	9.604988095	10.24691676	10.6971875	11.89524163	13.26399574	10.5167	12.59059619	11.18518809	7.89452	11.18809648	11.54557618	9.87123	11.00352988	11.49351647	1.35120907	12.14912627	13.37055809	11.8627	11.45792423	11.96525314	10.81647397	9.399632824	9.81417	12.77087907	9.04538
TIMP1	10.44420317	8.496928426	8.821427227	9.633008688	9.040900672	8.095416476	9.222153348	8.344190593	8.486684707	10.24724397	8.952531435	9.790188377	10.46286317	10.08021965	7.644981684	10.17301574	10.07922127	8.570533173	9.540825254	8.030039203	7.946190323	9.434294707	11.41659635	15.02993619	10.64311317	10.39823457	10.36339885	11.65052119	10.80127317	10.33121127	9.730828688	10.04448282	10.81562627	9.815251733	9.338366999	9.469161268	10.335	9.73913	9.702644707	9.810108767	10.29425907	10.70817369	9.815413348	11.18871734	10.73952988	10.32273877	9.763033173	9.107244185	9.335138095	9.591573349	9.677139649	9.675779879	10.60170647	11.24598127	10.23526519	10.12082809	9.579536758	9.136687499	9.913081631	10.28819574	9.60458	9.625826187	9.574048095	9.85994	8.298516476	8.646646176	9.77931	10.53629988	10.42959647	0.24190907	9.747326266	9.738228095	9.60564	9.245404234	10.93402314	10.95657397	9.877012824	9.9325	10.57373907	10.24806
ANGPTL3	2.496673173	1.733698426	0.087867227	1.687978688	2.262190672	2.721506476	2.045433348	0.264530593	3.121384707	1.636613971	3.007141435	1.875098377	3.642333173	2.100389649	2.132271684	2.494495735	1.204581268	1.849503173	1.685875254	2.080579203	1.112230323	1.170774707	2.770486346	5.44452619	2.223023173	1.301184571	3.820128852	3.104601188	1.264303173	3.171381268	1.228048688	1.089122824	1.174556266	2.697981733	1.068496999	1.653481268	1.4784	3.17746	1.905384707	1.401368767	2.30046907	2.392263689	0.356273348	2.914977338	2.149799879	0.586588767	2.292603173	2.567194185	2.653888095	2.045333349	3.458739649	4.064029879	2.774406472	2.851371268	2.206965195	1.365468095	2.104866758	3.666097499	2.501881631	2.885765735	2.30298	1.634506187	2.418358095	0.63875	1.661156476	1.978666176	0.87775	1.953059879	2.613536472	0.70862907	1.878516266	2.945408095	0.8314	2.338034234	2.33359314	2.778853971	1.249882824	0.91041	2.93854907	1.35396
REG3A	2.797613173	0.557608426	0.0	2.687228688	1.529820672	1.641656476	1.464313348	0.290880593	1.664354707	0.613713971	1.455381435	1.564338377	3.975843173	3.002309649	0.958101684	1.333535735	2.108531268	1.137563173	2.019035254	0.0	2.874620323	0.443364707	2.487726346	5.11484619	1.027143173	2.433614571	1.504148852	1.923781188	1.159713173	0.0	0.134588688	0.0	1.826726266	2.630891733	1.498376999	1.027941268	0.3312	1.67474	1.841394707	2.067008767	1.50272907	1.982323689	0.0	1.796187338	1.280169879	0.499788767	2.257093173	1.051164185	1.954758095	1.733143349	2.333479649	2.076489879	2.390626472	2.129061268	0.888655195	0.0	1.305326758	1.493077499	0.755831631	1.655695735	4.09367	0.567836187	1.381228095	0.01152	0.369006476	1.736706176	0.50397	0.0	1.202986472	-0.33351093	0.900326266	1.878828095	2.66853	2.396554234	1.06340314	2.442003971	1.852422824	0.76953	1.61635907	0.09187
SOD1	4.147133173	3.431288426	2.952487227	3.506298688	3.603760672	3.122956476	3.857053348	3.367440593	3.572074707	4.067633971	3.788821435	4.138218377	5.208153173	4.065309649	3.242721684	4.578085735	3.581191268	4.390053173	3.629105254	3.655669203	3.677720323	3.327874707	4.881796346	8.34551619	4.325843173	3.339514571	4.447848852	5.159511188	4.136983173	4.385301268	3.578578688	4.240552824	4.359626266	4.169431733	4.055166999	2.865111268	3.88693	3.7163	3.842074707	3.848048767	4.23647907	4.763323689	3.374903348	4.668107338	4.131599879	3.877238767	4.029763173	3.501424185	4.014808095	4.042023349	3.938719649	4.411409879	4.125796472	5.342171268	4.407395195	3.979978095	3.999336758	3.995817499	4.071921631	4.711145735	3.70833	3.877436187	4.093538095	3.48427	3.570806476	3.566706176	3.61972	4.431259879	4.521956472	-1.63251093	4.097636266	4.201298095	3.73561	3.939134234	4.46274314	5.158573971	4.143032824	3.78374	4.05458907	3.59704
CD46	7.807103173	7.514928426	6.618977227	8.052998688	7.420250672	8.289256476	8.107893348	7.618440593	7.896284707	8.472373971	9.036241435	8.692318377	9.336543173	8.782129649	7.986201684	8.107925735	6.049861268	8.955473173	8.232895254	7.640399203	7.272820323	7.547524707	7.592276346	12.45874619	8.644753173	6.888794571	8.582468852	8.461051188	7.342473173	8.403321268	8.782718688	8.821522824	8.116946266	8.964861733	7.537346999	8.789871268	7.00911	8.54988	7.331774707	6.303818767	8.35178907	9.064943689	7.087763348	9.052557338	7.796019879	6.718788767	8.966503173	8.724044185	9.201618095	8.405803349	8.802289649	8.565419879	8.252406472	9.475211268	7.910095195	8.473548095	8.126526758	8.673947499	9.083271631	9.155555735	7.49938	7.173596187	8.708738095	7.59607	7.152346476	6.940566176	6.70144	8.214359879	8.821826472	-0.08821093	7.921306266	7.828858095	6.06392	8.220084234	8.42988314	9.047273971	6.803952824	7.99031	8.12382907	8.01428
ITGAM	3.997553173	5.062628426	2.143907227	4.343718688	6.362800672	4.646756476	5.314773348	5.314140593	6.049484707	4.453673971	6.933781435	5.070638377	6.809253173	5.057679649	5.164331684	6.096205735	3.793071268	7.007733173	4.198125254	7.342919203	5.066090323	4.874464707	3.186826346	7.86376619	5.263023173	4.166284571	5.265938852	5.814291188	3.893933173	5.238261268	5.335558688	5.993182824	2.183976266	6.126511733	6.227556999	4.368441268	3.67232	5.18075	2.601994707	2.972728767	5.21398907	5.243513689	3.088833348	4.228177338	4.128289879	2.202428767	4.998613173	6.678294185	6.417978095	5.610113349	6.252749649	5.289069879	3.767006472	6.640611268	4.377015195	4.588508095	5.035936758	6.336997499	5.879501631	6.837125735	4.44236	5.764986187	6.256618095	2.74041	4.146086476	4.096376176	1.91631	5.618609879	3.521676472	-0.62228093	5.617976266	4.939548095	3.70995	4.926814234	5.44852314	5.225523971	2.695732824	4.66036	5.16377907	4.18602
TNC	9.169693173	8.083538426	8.382847227	8.399718688	8.747090672	7.652756476	8.214523348	7.918390593	7.772284707	9.234353971	8.058421435	9.278568377	9.517633173	8.774169649	8.057531684	9.387775735	9.558921268	8.458903173	8.791975254	7.853819203	8.072850323	8.676844707	9.764506346	13.41149619	9.516983173	8.996814571	9.415838852	10.19689119	8.208603173	9.140401268	8.541328688	8.968242824	6.795186266	8.855551733	8.785026999	8.444711268	8.76387	8.65108	7.739294707	8.509408767	9.17425907	9.252173689	8.340673348	9.746097338	9.540039879	8.497998767	8.864183173	8.078944185	8.502888095	8.296953349	9.105669649	8.804359879	9.427156472	10.33655127	9.246155195	8.911188095	9.054346758	8.621417499	8.691221631	9.516555735	8.66665	8.732866187	8.913688095	8.28001	8.231876476	8.477776176	8.29992	9.300559879	9.521506472	0.75919907	8.672896266	8.907628095	8.50173	8.434394234	9.52500314	10.00427397	9.014342824	8.99332	9.17762907	8.56302
NID1	7.895693173	6.668918426	5.830857227	7.337328688	7.385410672	8.244576476	9.327403348	6.470600593	8.916544707	7.665553971	8.573461435	9.259058377	9.164683173	8.529499649	7.917601684	9.434785735	7.240611268	9.489973173	7.091215254	8.322779203	7.100440323	7.532344707	9.623156346	12.14824619	9.363903173	7.101724571	10.12701885	9.740021188	6.943873173	8.729481268	8.184528688	8.610462824	6.045926266	9.471711733	7.721366999	7.054331268	7.46568	8.56059	6.505904707	6.483648767	8.92008907	9.700763689	6.094653348	9.626257338	7.804949879	5.689548767	8.801143173	9.039424185	7.863648095	8.732393349	9.070519649	9.716839879	8.805476472	8.733991268	8.952605195	6.991968095	7.990536758	9.566567499	8.729031631	9.238045735	8.06162	8.241016187	8.147528095	7.03709	7.287646476	7.504516176	6.79491	7.696189879	8.732076472	0.07359907	8.976226266	7.756308095	5.60553	8.378764234	9.61046314	10.01465397	6.822382824	7.87015	8.53501907	8.19689
CFHR5	10.16624317	8.721878426	9.421227227	9.417708688	8.260890672	8.879716476	9.325953348	8.842680593	8.854534707	10.02852397	9.249461435	10.27577838	10.97277317	10.06799965	9.155131684	10.30970574	10.28730127	10.21530317	9.934885254	9.148799203	9.592570323	9.755534707	10.60786635	14.39682619	10.13474317	9.541044571	10.12232885	10.40176119	10.32394317	9.840851268	8.506778688	9.988772824	10.32893627	9.646831733	9.906816999	9.572361268	9.5025	9.33349	9.807734707	9.622468767	10.06640907	10.82998369	9.521833348	10.68473734	10.24680988	9.776778767	10.21493317	9.461854185	9.934508095	10.16703335	9.516409649	9.644059879	10.48986647	11.44888127	10.25274519	9.913958095	9.306336758	9.198147499	9.249841631	10.35665574	9.28945	9.624926187	10.24044809	9.77931	9.220866476	8.874236176	9.47154	10.46294988	10.34928647	0.33832907	10.02798627	9.750018095	9.48274	10.04332423	10.32190314	11.22559397	10.12921282	9.66317	10.01187907	9.78199
SPARCL1	5.940913173	3.260778426	3.207157227	3.116008688	1.203320672	4.758996476	4.299743348	2.194850593	2.815964707	4.406393971	4.616201435	5.508218377	6.442383173	4.270489649	3.754061684	4.033345735	4.953781268	4.801773173	5.240915254	1.778349203	3.394020323	4.690374707	5.641796346	8.30664619	4.747073173	3.240914571	4.747158852	3.952531188	5.361933173	4.351651268	2.549718688	4.910862824	4.999696266	5.084031733	4.584906999	4.978131268	3.56678	3.5367	4.346104707	4.125588767	4.38341907	6.425593689	2.482903348	7.040737338	4.047939879	3.145078767	5.379863173	4.874224185	3.841248095	6.531453349	6.279149649	5.375819879	7.071016472	4.234311268	5.589705195	5.426168095	3.821476758	5.224397499	4.189901631	4.708435735	4.01064	3.270206187	5.473338095	5.04889	2.207846476	2.635636176	3.52966	5.469529879	5.450176472	-0.27155093	5.276526266	5.222188095	1.60166	5.948594234	5.03136314	5.900383971	2.563662824	4.30055	6.29164907	3.00578
PLXNB2	4.765623173	4.355258426	3.174707227	4.864778688	4.108240672	4.925716476	5.356953348	4.212860593	4.976284707	4.750603971	5.974301435	6.170108377	6.480823173	5.627409649	4.705881684	5.182855735	3.040011268	6.156913173	5.097585254	4.786529203	4.268490323	4.679844707	4.863896346	8.65834619	5.039763173	3.712464571	5.256778852	5.412641188	4.216183173	4.866911268	4.974268688	5.350582824	4.160866266	5.814831733	4.599626999	5.887221268	3.91824	5.18975	3.442744707	3.938418767	5.22450907	5.655723689	3.651843348	6.249657338	4.310259879	3.294578767	5.807573173	6.420184185	5.950308095	5.753283349	6.163559649	5.986709879	5.733846472	6.324901268	4.835305195	5.283618095	4.676006758	5.735477499	5.406041631	5.679255735	4.12191	3.783506187	5.621238095	4.22609	4.229566476	3.400226176	3.79985	5.030689879	5.054816472	0.09849907	5.025926266	4.980568095	2.4175	4.770764234	4.94184314	6.067303971	3.029202824	4.82772	5.57181907	4.8569
MEGF9	1.346213173	1.441888426	0.631867227	1.020398688	1.220850672	2.840066476	1.903003348	1.253240593	1.387374707	1.350203971	2.720161435	2.670188377	3.108983173	2.589099649	2.197991684	2.070555735	0.0	2.937073173	1.953375254	0.969439203	1.838360323	1.753434707	1.835936346	5.89942619	2.251693173	0.390044571	3.000918852	2.137781188	1.262453173	1.503411268	2.366958688	1.930992824	1.598686266	2.712711733	0.958836999	2.090141268	0.77036	2.18379	1.637364707	0.859708767	1.51699907	3.118373689	0.725163348	3.414177338	1.784419879	0.962798767	2.028203173	2.587734185	2.497778095	2.141053349	2.332099649	2.399889879	2.302926472	2.571011268	1.909895195	1.996758095	1.593886758	2.407657499	2.319721631	2.042595735	1.40099	1.534696187	2.149738095	1.42835	1.102866476	1.260866176	1.18063	2.271159879	2.235916472	-0.92340093	1.760136266	1.868698095	0.15855	2.206554234	2.14372314	2.941763971	1.519232824	1.51909	1.72211907	1.31779
ANG	8.736793173	7.938308426	8.528307227	7.870118688	8.485920672	8.083826476	8.427433348	8.009750593	8.193694707	8.778053971	8.290251435	9.044938377	9.722513173	8.435659649	7.856031684	9.336645735	9.246301268	9.065213173	8.551355254	8.339989203	8.337560323	8.446364707	9.409686346	13.02033619	9.063253173	8.581284571	9.181588852	10.07659119	9.175133173	9.315901268	8.396168688	8.967112824	9.484016266	8.824961733	8.829896999	8.017851268	8.32585	8.29337	8.500844707	8.585138767	8.86925907	9.627023689	8.753123348	9.508207338	9.183949879	9.036718767	8.736463173	8.475354185	8.566738095	8.923823349	8.369329649	9.189689879	9.143016472	10.42211127	9.230535195	8.719318095	8.401526758	8.647567499	8.613451631	9.390575735	8.15031	8.780626187	8.884078095	8.27663	8.146856476	8.533946176	8.2117	9.299869879	9.484556472	-0.49801093	9.126666266	8.804698095	8.6091	8.517514234	9.26761314	9.725363971	8.887992824	8.24683	8.82028907	8.63695
ST6GAL1	4.447963173	1.924458426	1.527787227	3.622448688	4.702090672	3.979816476	5.298813348	2.189740593	5.569054707	3.668553971	6.028921435	5.442608377	6.614543173	4.388249649	3.038721684	4.923955735	5.037661268	6.686313173	3.339845254	5.208079203	2.880100323	3.135724707	5.692256346	6.71257619	3.502813173	4.306024571	4.986408852	7.220021188	2.167633173	4.881141268	4.747778688	5.514472824	2.053266266	6.492571733	5.609126999	2.236191268	2.54916	5.35576	0.752324707	3.575508767	5.48392907	5.726283689	2.475383348	5.254627338	3.588979879	1.685688767	5.079663173	5.407984185	7.869138095	6.238583349	6.140699649	5.772469879	5.816526472	7.280291268	5.449055195	3.629148095	5.006326758	7.487787499	5.085941631	6.221965735	4.64081	2.850306187	6.180988095	1.45015	2.731996476	1.952836176	2.00757	3.739459879	4.143376472	-0.41334093	4.760606266	3.723108095	2.5757	3.475734234	6.26043314	5.750993971	2.911872824	4.18797	6.27826907	5.14283
DPP4	5.610663173	6.053998426	3.555947227	5.686728688	6.130400672	7.647446476	6.198603348	5.530650593	6.806024707	5.691613971	7.787231435	6.197688377	7.264063173	6.164719649	7.267521684	6.775735735	5.422111268	7.976713173	4.827445254	6.853409203	7.388770323	7.036734707	4.934256346	9.45842619	6.126743173	5.043254571	7.253928852	7.236521188	4.623843173	6.128991268	6.116488688	5.590962824	4.042736266	6.567861733	7.346196999	7.228191268	4.08412	6.11255	5.691514707	4.121428767	5.42489907	7.217563689	5.056003348	6.914967338	5.198379879	5.494668767	5.573663173	7.031484185	7.900528095	6.103243349	6.038899649	7.055839879	5.932366472	7.901221268	6.595125195	4.800808095	6.301536758	7.675377499	6.875741631	7.245525735	5.68764	7.695336187	6.611698095	3.19579	7.542926476	7.263186176	6.02186	6.730029879	4.594126472	0.09547907	7.043296266	7.190328095	6.52449	6.640834234	5.75025314	6.316853971	6.148762824	4.91075	6.05093907	5.57931
